"Modem"	"v.90"	"v.34"	"Increase Lost Carrier Timeout"
"Lucent (version 6.x and up)"	"+MS=v90,0"	"+MS=v34,0"	"S10=200"
"Lucent(LT) (version 5.x and below)"		"-v90=0"	
"Agere"	"+MS=v90,0"	"+MS=v34,0"	"S10=200"
"USR"		"S32=98 "	"S10=200S25=100"
"HSF(SoftK56)"	"AT&F&C1&D2+MS=v90,0"	"AT&F&C1&D2&K3+MS=v34"	"S10=200"
"HCF"	"AT&F&C1&D2+MS=v90,0"	"AT&F&C1&D2&K3+MS=v34"	"S10=200"
"ACF (version 2.x)"	"AT&F&C1&D2+MS=12"	"AT&F&C1&D2&K3+MS=11"	"S10=200S25=100"
"ACF (version 3.x)"	"AT&F&C1&D2+MS=v90,0"	"AT&F&C1&D2&K3+MS=v34"	"S10=200"
"Intel"		"AT+MS=V34,1,0,0"	
"AC Link"		"AT&F&C1&D2&K3+MS=V34"	
"GTW"	"s50=23s51=95"	"s50=23s51=31"	
"HSP"		"AT&FS37=12N1"	"S10=200S25=100"